date,time,rpm,temperature
2000-01-01,12:32:21,0,24.3
2000-01-01,12:32:22,0,24.0
2000-01-01,12:32:23,0,24.3
2000-01-01,12:32:24,0,24.3
2000-01-01,12:32:25,0,24.0
2000-01-01,12:32:26,0,24.3
2000-01-01,12:32:27,0,24.0
2000-01-01,12:32:28,0,24.3
2000-01-01,12:32:29,0,24.3
2000-01-01,12:32:30,0,24.3
2000-01-01,12:32:31,0,24.0
2000-01-01,12:32:32,0,24.0
2000-01-01,12:32:33,0,24.3
2000-01-01,12:32:34,420,24.0
2000-01-01,12:32:35,600,24.3
2000-01-01,12:32:36,1200,24.3
2000-01-01,12:32:37,660,24.0
2000-01-01,12:32:38,0,24.3
2000-01-01,12:32:39,0,24.3
2000-01-01,12:32:40,0,24.3
2000-01-01,12:32:41,0,24.0
